File Name,Dimension,Number of Trucks,Capacity,Optimal Cost,ABC Cost,Execution Time
B-n31-k5,31,5,100,672,685.664,8.535
B-n34-k5,34,5,100,788,808.378,13.714
B-n35-k5,35,5,100,955,978.817,11.183
B-n38-k6,38,6,100,805,837.935,11.411
B-n39-k5,39,5,100,549,576.307,11.512
B-n41-k6,41,6,100,829,870.824,17.999
B-n43-k6,43,6,100,742,801.552,12.668
B-n44-k7,44,7,100,909,1000.69,17.651
B-n45-k5,45,5,100,751,834.525,24.656
B-n45-k6,45,6,100,678,791.443,36.742
B-n50-k7,50,7,100,741,803.239,15.064
B-n50-k8,50,8,100,1312,1385.32,20.804
B-n51-k7,51,7,100,1032,1158.8,36.965
B-n52-k7,52,7,100,747,869.446,14.977
B-n56-k7,56,7,100,707,826.909,16.726
B-n57-k7,57,7,100,1153,1375.37,63.027
B-n57-k9,57,9,100,1598,1790.8,19.484
B-n63-k10,63,10,100,1496,1766.06,28.944
B-n64-k9,64,9,100,861,1107.52,51.481
B-n66-k9,66,9,100,1316,1531.65,37.554
B-n67-k10,67,10,100,1032,1251.79,26.49
B-n68-k9,68,9,100,1272,1510.87,30.237
B-n78-k10,78,10,100,1221,1550.18,38.783
