File Name,Dimension,Number of Trucks,Capacity,Optimal Cost,ABC Cost,Execution Time
P-n101-k4,101,4,400,681,1534.98,21.148
P-n16-k8,16,8,35,450,451.335,13.13
P-n19-k2,19,2,160,212,219.754,7.376
P-n20-k2,20,2,160,216,217.416,7.297
P-n21-k2,21,2,160,211,212.712,5.814
P-n22-k2,22,2,160,216,219.952,7.175
P-n22-k8,22,8,3000,603,600.826,22.563
P-n23-k8,23,8,40,529,531.174,34.413
P-n40-k5,40,5,140,458,505.334,11.251
P-n45-k5,45,5,150,510,621.159,13.987
P-n50-k10,50,10,100,696,780.252,30.302
P-n50-k7,50,7,150,554,680.525,15.855
P-n50-k8,50,8,120,631,708.164,59.065
P-n51-k10,51,10,80,631,869.154,44.863
P-n55-k10,55,10,115,694,799.158,21.139
P-n55-k15,55,15,70,989,0,0
P-n55-k7,55,7,170,568,0,0
P-n55-k8,55,8,160,588,0,0
P-n60-k10,60,10,120,744,0,0
P-n60-k15,60,15,80,968,0,0
P-n65-k10,65,10,130,792,0,0
P-n70-k10,70,10,135,827,0,0
P-n76-k4,76,4,350,593,0,0
P-n76-k5,76,5,280,627,0,0
