File Name,Dimension,Number of Trucks,Capacity,Optimal Cost,Result Cost,Execution Time
A-n32-k5,32,5,100,784,839.611,9.212
A-n33-k5,33,5,100,661,673.85,11.368
A-n33-k6,33,6,100,742,767.145,15.397
A-n34-k5,34,5,100,778,803.393,14.196
A-n36-k5,36,5,100,799,888.689,11.515
A-n37-k5,37,5,100,669,733.296,9.953
A-n37-k6,37,6,100,949,1000.4,19.934
A-n38-k5,38,5,100,730,768.31,19.582
A-n39-k5,39,5,100,822,896.358,18.409
A-n39-k6,39,6,100,831,871.153,13.141
A-n44-k6,44,6,100,937,1059.11,20.056
A-n45-k6,45,6,100,944,1083.29,38.071
A-n45-k7,45,7,100,1146,1284.49,16.202
A-n46-k7,46,7,100,914,1020.01,14.087
A-n48-k7,48,7,100,1073,1262.23,16.13
A-n53-k7,53,7,100,1010,1225.5,27.919
A-n54-k7,54,7,100,1167,1386.59,29.213
A-n55-k9,55,9,100,1073,1283.22,25.304
A-n60-k9,60,9,100,1354,1625.1,27.557
A-n61-k9,61,9,100,1034,1295.64,55.832
A-n62-k8,62,8,100,1288,1615.79,25.339
A-n63-k10,63,10,100,1314,1594.16,32.39
A-n63-k9,63,9,100,1616,1952.01,46.539
A-n64-k9,64,9,100,1401,1751.79,34.187
A-n65-k9,65,9,100,1174,1487.74,52.024
A-n69-k9,69,9,100,1159,1508.55,34.463
A-n80-k10,80,10,100,1763,2408.58,42.303
